Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
983,Need for Speed: ProStreet,Racing,E10,PS3,Electronic Arts,EA Black Box,7.2,,,2.04,0.73,0.91,0.04,0.36,2007
984,Madden NFL 25,Sports,E,PS3,Electronic Arts,EA Tiburon,7.5,,,2.04,1.62,0.03,,0.38,2013
985,Carnival Games,Misc,E,DS,2K Play,Cat Daddy Games,,,,2.04,1.22,0.63,,0.19,2008
986,Peter Jackson's King Kong: The Official Game of the Movie,Action,T,PS2,Ubisoft,Ubisoft Montpellier,,,,2.04,0.71,1.02,,0.31,2005
987,Dead or Alive 3,Fighting,T,XB,Tecmo,Team Ninja,8.3,,2.04,,,,,,2001
988,PGR4 - Project Gotham Racing 4,Racing,E,X360,Microsoft Game Studios,Bizarre Creations,8.6,,,2.04,0.48,1.28,0.02,0.25,2007
989,Dance Central 2,Music,T,X360,Microsoft,Harmonix Music Systems,8.6,,,2.04,1.45,0.41,0.01,0.16,2011
990,Dragon Quest XI: Echoes of an Elusive Age,Role-Playing,T,PS4,Square Enix,Square Enix,10,,,2.04,0.29,0.22,1.43,0.1,2018
991,NBA 2K17,Sports,E,XOne,2K Sports,Visual Concepts,8.8,,,2.04,1.7,0.12,,0.21,2016
992,Skate 3,Sports,T,PS3,EA Sports,EA Black Box,,,,2.03,0.79,0.93,,0.32,2010
993,1080: TenEighty Snowboarding,Sports,E,N64,Nintendo,Nintendo EAD,9.1,,2.03,,,,,,1998
994,Mario Hoops 3 on 3,Sports,E,DS,Nintendo,Square Enix,7.1,,2.03,,,,,,2006
995,Serious Sam 3: BFE,Shooter,M,PC,Devolver Digital,Croteam,7,,2.03,,,,,,2011
996,Rayman Raving Rabbids: TV Party,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.1,,,2.03,0.72,1.08,,0.23,2008
997,NBA Live 2004,Sports,E,PS2,EA Sports,EA Canada,,,,2.03,1.57,0.18,,0.27,2003
998,The Sims 3,Simulation,T,PS3,Electronic Arts,The Sims Studio,8.1,,,2.03,0.73,0.96,0.02,0.31,2010
999,Onimusha: Warlords,Action,M,PS2,Capcom,Flagship,8.7,7.3,2.02,,,,,,2001
1000,Just Dance 3,Misc,E10,X360,Ubisoft,Ubisoft Paris,5.5,,,2.02,1.47,0.39,,0.16,2011
